EAN;DESCRIPCION;UM BULTO
40084107;HUEVO CHOCOLATE SORPRESA CELESTE KINDER X 20 GRS;192
42277057;CREMA FACIAL CUIDADO NUTRITIVO NIVEA CARE X 100CC ;12
42277132;TONICO DESMAQ DE OJOS BIFASICO NIVEA X 125 CC     ;12
42429142;CREMA MANOS CUIDADO INTENSIVO NIVEA X 100 CCC ;6
75024956;ANTITRANSPIRANTE BARRA V8 REXONA X 50 GRS         ;12
75029982;ANTITRANSPIRANTE BARRA ACT EMOTION REXONA X 50 GRS;12
75079437;ANTITRANSP FEM CREMA CLINICAL SOFT DOVE X 58GRS   ;3
75079444;ANTITRANSP MASC CREMA CLINICAL SOFT DOVE X 58GRS  ;12
75080143;ANTITRANSPIRANTE BARRA PROT TOTAL DOVE X 50 GRS   ;12
75082734;ANTITRANSPIRANTE BARRA ORIGINAL DOVE X 53 GR      ;3
75083694;DESODORANTE STICK BLUE LAVENDER AXE X 58 GRM      ;12
75083700;DESODORANTE STICK AQUA CITRUS AXE X 58 GRM        ;12
77900661;SAL FINA CELUSAL SALERO X 100 GRS                 ;30
77903501;OBLEAS CLASICAS OPERA X 55 GRS;56
77903778;ALFAJOR CHOCOLATE C DDL TRIPLE MILKA X 70 GRS     ;36
77903785;ALFAJOR TRIPLE MILKA MOUSSE X 55 GRS.             ;108
77903792;ALFAJOR CHOCOLATE TRIPLE TERRABUSI X 70 GRS       ;72
77903860;ALFAJOR TERRABUSI TORTA X 70 GRS              ;36
77907943;CARAMELO MASTICABLE TUTTI FRUTTI LENGUETAZO X 13 G;900
77914217;TABLETA CHOCOLATE C MANI SHOT X 35 GRS;150
77915481;ALFAJOR TRIPLE PEPITOS X 57 GRS                   ;108
77916426;CHICLES TABLETA MENTA TOPLINE X 6.7 GRS           ;600
77917911;CHOCOLATE NEGRO SIN AZUCAR GEORGALOS X 30 GRS     ;3
77919304;BARRA ARROZ BANADA CHOC.NEGRO LULEMUU PAQUETE X12G;120
77919311;BARRA ARROZ BANADA CHOC BLAN LULEMUU PAQUETE X12GR;120
77919328;BARRA DE ARROZ YOGURT LULEMUU PAQUETE X 12 GR     ;120
77919335;BARRA DE ARROZ DULCE DE LECHE LULEMUU PAQUETEX12GR;120
77922120;BARRA CHOCOLATE C LECHE MANI COFLER BLOCK X 110 GR;96
77929686;BOCADITO RELLENO NEGRO OBLIBON X 10 GRS           ;432
77931764;CHICLE MENTA XPLOS TOPLINE X 14 GRS               ;60
77934499;ALFAJOR CHOCOLATE CACHAFAZ X 60 GRS.              ;72
77939234;ALFAJOR CHOCOLATE TERRABUSI X 50 GRS              ;144
77939753;CHICLE ADULTO ATMIC STRONG TOPLINE 7 X 14.7 GRS   ;48
77940131;TURRON Y MANI ARCOR X 25 GRS.;300
77940148;TURRON DE MANI MISKY X 25 GRS                     ;200
77949677;BARRA DE CHOCOLATE MIXTO KINDER X 4 UNI           ;160
77949707;BARRA DE CHOCOLATE MIXTO NATOONS KINDER X 8 UNI   ;80
77952127;OBLEA BANADA CHOCO LIMON FIT OBLIBON X 16 GRS     ;288
77954411;OBLEA RELLENA DE LIMON LULEMUUX 15 GRS            ;240
77955159;BARRA S TACC ALMENDRAS Y COCO ZAFRAN X 28 GRS     ;96
